#漢字	音標	解釋
多	tou44	多：多少，多数
諺	ȵien51	谚：谚语
孽	ȵiap031	孽：作孽
蔫	ȵien51	蔫：食物不新鲜
焉	ʒen22	焉：心不在焉
延	ʒen22	延：延安，拖延
筵	ʒen51	筵：酒席
蜒	ʒen22	蜒：蜿蜒，蚰蜒（蛞蝓）
演	ʒen51	演：表演，演出
衍	ʒen51	衍：敷衍
拽	vak033	拽：拽衣裳，拽被子
犍	kʰien51	犍：阉割过的牛
建	kien31	建：建设，新建
毽	kʰien51	毽：毽子
揭	kiet031	揭：揭发，揭盖
鍵	kʰien51	键：关键，键盘
健	kʰien51	健：健康，老人体健
腱	kʰien51	腱：肌腱
竭	kʰiet033	竭：竭尽全力
言	ȵien22	言：语言，言论
掀	ʃen44	掀：掀桌子、锅盖、被子
軒	ʃen44	轩：人名用字
憲	ʃen31	宪：宪法
獻	ʃen31	献：贡献，献宝
蠍	kiet031	蝎：蝎子，蛇蝎
蔫	ȵie51	蔫：花蔫了，颜色不鲜艳
堰	ʒen51	堰：都江堰，坝
邊	pien44	边：旁边，边缘
蝙	pien31	蝙：蝙蝠
扁	pien31	扁：扁担，形状
匾	pien31	匾：牌匾，匾额
遍	pien31	遍：一遍
遍	pien31	遍：遍地，普遍
憋	pi51	憋：憋气，憋尿
撇	pʰiet031	撇：撇捺，撇开
辮	pʰien51	辫：编辫子，辫子
癟	piet031	瘪：干瘪，瘪谷
蹩	piet031	蹩：跛，蹩脚
眠	min22	眠：安眠，眠床
麵	mien51	面：吃面，面粉
篾	miet033	篾：竹篾
衊	miet031	蔑：污蔑，蔑视
顚	tien44	颠：颠倒，颠箥
癲	tien44	癫：疯，癫狗
典	tien31	典：词典，典当
天	tʰien44	天：天上，晴天
腆	tien31	腆：腆肚子，腼腆
田	tʰien22	田：种田，田地
塡	tʰien22	填：填空，填房（续弦）
電	tʰien51	电：电灯，触电
殿	tien51	殿：佛殿，殿堂
奠	tien51	奠：奠基，奠定
佃	tien51	佃：佃户
墊	tien51	垫：垫钱，座垫
澱	tʰien51	淀：沉淀，淀粉
迭	tʰiap033	迭：更迭
年	ȵien22	年：过年，年纪
撚	ȵien31	撚：用指撚碎，撚线
捏	ȵiap031	捏：捏紧
憐	lin22	怜：可怜
蓮	lien22	莲：莲花，莲蓬
練	lien51	练：练习，熟练
煉	lien51	炼：炼丹
鏈	lien51	链：项链，链条
楝	lien51	楝：苦楝树
鍊	lien51	炼：锻炼
箋	tsien44	笺：便笺，信笺
薦	tsien51	荐：推荐，棕荐，稿荐
節	tsiet031	节：竹节，节约
癤	tsiet031	疖：疮疖
千	tsʰien44	千：数字，千万
切	tsʰiet031	切：切开，迫切
竊	tsʰiap031	窃：偷窃，窃听
前	tsʰien22	前：前后，从前
截	tsʰiet033	截：斩钉截铁，截断
先	sien44	先：祖先，先进
屑	siɔk031	屑：木屑，不屑一顾
楔	kʰei51	楔：楔子
肩	kien44	肩：肩膀
堅	kien44	坚：坚强
繭	kien31	茧：蚕茧
趼	kien31	趼：老茧
筧	kien51	笕：水笕，笕桥
見	kien51	见：没脸见人，看见，见识
結	kiet031	结：打结，结果
潔	kiet031	洁：清洁，洁白
牽	kʰien44	牵：牵牛花
縴	tsʰiam22	纤：拉纤，纤绳
硏	ȵien44	研：研究，研磨
硯	kan51	砚：砚台
顯	ʃen31	显：明显，显灵
賢	ʃen22	贤：圣贤，贤惠
弦	ʃen22	弦：上弦月，琴弦
現	ʃen51	现：出现，现在
煙	ʒen44	烟：冒烟，香烟
燕	ʒen51	燕：姓，燕京
胭	ʒen44	胭：胭脂
宴	ʒen51	宴：宴会
燕	ʒen51	燕：燕子
嚥	ʒen44	咽：下咽，咽喉
噎	ʒen44	噎：噎住
搬	pan44	搬：搬家，搬运
般	pan44	般：般配，一般
半	pan51	半：半天，一半
絆	pʰan51	绊：绊脚石，绊倒
鉢	pat031	钵：钵头，衣钵
撥	pat031	拨：拨款，点拨
潘	pʰan44	潘：姓
拚	pʰin44	拼：拼命
判	pʰan51	判：判断，审判
潑	pʰat031	泼：泼水，泼辣
盤	pʰan22	盘：盘子，算盘
伴	pʰan51	伴：伙伴，伴随
拌	pʰan51	拌：搅拌，凉拌
畔	pʰan51	畔：河畔，江畔
叛	pan31	叛：叛徒，背叛
鈸	pʰat033	钹：铜质圆乐器
瞞	man31	瞒：隐瞒
饅	man22	馒：馒头
鰻	man22	鳗：河鳗，鳗鱼
滿	man44	满：装满，满意
漫	man51	漫：漫长，漫画
幔	man51	幔：帷幔、幔帐
末	mat033	末：末尾，锯末
沫	mat033	沫：泡沫
抹	mat031	抹：抹布，抹杀
端	tɔn44	端：端午，端正
斷	tɔn51	断：判断，断案，断价钱
鍛	tʰɔn51	锻：锻炼
脫	tʰɔt031	脱：脱衣裳，脱线，摆脱
團	tʰɔn22	团：团结，一团线，团长
糰	tʰɔn22	团：糯米团子
斷	tʰɔn44	断：断绝，断掉
段	tʰɔn51	段：一段木头，路段，阶段
緞	tʰɔn51	缎：绸缎，缎面
椴	tʰɔn51	椴：椴树,椴木
暖	lɔn44	暖：温暖，暖和
卵	lɔn31	卵：鸡卵，男阴
亂	lɔn51	乱：混乱，乱动
鑽	tsɔn51	钻：动词，钻洞
纂	tsʰɔn31	纂：编纂
攢	tsʰɔn51	攒：攒钱
鑽	tsɔn51	钻：名词，扯钻，钻子
汆	tsɔn31	汆：汆丸子，汆汤，汆青菜
躥	tʃʰɔn51	蹿：向前或向上跳
竄	tʃʰɔn31	窜：东窜西窜
撮	tsɔt031	撮：一撮毛，撮一撮米
酸	sɔn44	酸：硫酸，味道
算	sɔn51	算：算账，计算
蒜	sɔn51	蒜：大蒜，蒜苗
棺	kuɔn44	棺：棺材
觀	kuɔn44	观：参观，观音
冠	kuɔn51	冠：衣冠
管	kuɔn31	管：不管，管理
館	kuɔn31	馆：馆子，图书馆
貫	kuɔn51	贯：一贯，贯彻
灌	kuɔn51	灌：灌溉，浇灌
罐	kuɔn51	罐：瓦罐，罐头
觀	kuɔn44	观：道观，寺观
冠	kuɔn51	冠：冠军
括	kuat031	括：包括，
聒	kuat031	聒：聒耳朵，面聒（打耳光）
寬	kʰuɔn44	宽：宽敞，不紧
款	kʰuan31	款：款项，汇款
玩	ŋan31	玩：古玩，玩具
歡	fɔn44	欢：喜欢，欢喜
喚	fɔn51	唤：呼唤
煥	fɔn51	焕：焕然一新
豁	fɔk031	豁：豁然，豁嘴，豁口，豁拳
桓	hen22	桓：齐桓公
完	van22	完：吃完，完全
丸	ʒen22	丸：药丸，丸子
紈	tʃit031	纨：纨绔子弟
緩	fan31	缓：缓慢，迟缓
皖	van31	皖：皖南事变
換	fɔn51	换：交换，换衣
活	fat033	活：生活，活鱼
豌	van44	豌：豌豆
剜	kuat033	剜：挖
碗	vɔn31	碗：饭碗，碗筷
腕	vɔn31	腕：手腕
頑	ŋan22	顽：顽皮，顽固
幻	fam51	幻：幻想，科幻
滑	vat033	滑：地滑，滑稽
猾	vat033	猾：狡猾
挖	va44	挖：挖地，开挖
篡	tsʰɔn31	篡：篡位，篡改
撰	tsʰɔn31	撰：撰写
閂	tsʰɔn44	闩：门闩
拴	tsʰɔn44	拴：捆绑
涮	sɔt031	涮：涮洗
刷	sɔt031	刷：牙刷，刷子
慣	kuan51	惯：习惯，惯用
摜	kuan51	掼：扔，摔掉，跌
還	fan22	还：还原，还钱
還	han22	还：还有
環	fan22	环：环境，菜篮环
患	fam51	患：忧患，患病
宦	fam51	宦：宦官
彎	van44	弯：弯曲，转弯
灣	van44	湾：海湾，港湾
戀	lien51	恋：恋爱，留恋
劣	lɔt031	劣：恶劣，伪劣
泉	tsʰan22	泉：泉水，喷泉
絕	tsʰiek033	绝：断子绝孙，绝对
宣	sien44	宣：宣传，宣布
選	sien31	选：选举，挑选
雪	siek031	雪：下雪，雪白
旋	siɔn22	旋：旋转
旋	siɔn22	旋：旋吃旋做
轉	tʃɔn31	转：转送，转学，翻转
轉	tʃɔn31	转：转圆圈，转毛线
傳	tʃʰɔn22	传：传达，流传
椽	ʒen22	椽：椽子
篆	tsɔn22	篆：小篆，篆书
傳	tʃʰɔn51	传：传记，水浒传
專	tʃɔn44	专：大专，专门
磚	tʃɔn44	砖：砖头
拙	kʰiut031	拙：笨拙，拙劣
川	tʃʰɔn44	川：四川，川流不息
穿	tʃʰɔn44	穿：穿针，贯穿，穿衣服
喘	tʃʰɔn31	喘：气喘，哮喘
串	tʃʰɔn51	串：一串，串通
說	ʃɔt031	说：说话，小说
軟	ȵiɔn44	软：软硬，软弱
捲	kien31	卷：卷起来
絹	kien44	绢：手绢
卷	kʰien31	卷：一卷，考卷
眷	kien51	眷：亲眷，眷属
圈	kʰien44	圈：圆圈，圈套
權	kʰien22	权：有权，权力
倦	kʰien31	倦：疲倦
圓	ʒen22	圆：圆圈，团圆
員	ʒen22	员：人员，员外
院	ʒen51	院：医院，院子
緣	ʒen22	缘：姻缘，缘分
沿	ʒen22	沿：沿路，边沿
鉛	ʒen22	铅：铅笔，铅球
捐	kien44	捐：捐款，募捐
悅	ʒei51	悦：愉悦
閱	ʒek033	阅：阅读，批阅
藩	pʰan44	藩：曾国藩
反	fan31	反：反面，反手，反对
販	pan31	贩：贩卖，行贩
畈	pan31	畈：田畈，一畈田
髮	fat031	发：头发
翻	fan44	翻：翻书，翻筋头，翻转
番	pʰan44	番：几次三番
煩	fan22	烦：麻烦，烦人
礬	fam22	矾：明矾
繁	fan22	繁：繁华
藩	pʰan44	藩：
伐	fat033	伐：讨伐，伐木
筏	fat033	筏：竹筏
罰	fat033	罚：惩罚，罚款
晚	van31	晚：晚上，晚娘，晚稻
挽	van31	挽：挽留，手挽手
萬	van51	万：数字，麻将中的万子
蔓	man51	蔓：瓜蔓，蔓延
襪	mat031	袜：袜子，鞋袜
厥	ʃet031	厥：突厥
蕨	kiet031	蕨：植物
憠	kiet031	憠：脾气憠
勸	kʰien51	劝：劝架，规劝
券	kʰien31	券：国库券
掘	kiet031	掘：挖掘，掘地
橛	kiet031	橛：橛子（短木桩）
元	ȵien22	元：元旦，元老
原	ȵien22	原：原来，平原
源	ȵien22	源：源头，来源
阮	ȵiɔn22	阮：姓，阮玲玉
願	ȵien51	愿：许愿，愿望
喧	sien44	喧：喧哗，喧闹
楦	sien44	楦：鞋楦
冤	ʒen44	冤：冤枉，冤家，喊冤
宛	van31	宛：地名，宛然
怨	ʒen51	怨：埋怨，怨恨
袁	ʒen22	袁：姓，袁世凯
轅	ʒen22	辕：辕门
園	ʒen22	园：菜园，花园
援	ʒen44	援：援助，救援
猿	ʒen22	猿：猿猴
遠	ʒen31	远：远近，永远
曰	ʒet031	曰：子曰
越	ʒet033	越：吴越，越来越好
粵	ʒet033	粤：广东简称
决	kiet031	决：决定，判决
訣	kiet031	诀：口诀，诀窍
犬	kʰien31	犬：狗
缺	kʰiet031	缺：缺钱，缺口，残缺
血	ʃet031	血：流血，血液
玄	ʃen22	玄：玄妙，黑色
懸	ʃen22	悬：悬空，悬崖
縣	ʒen51	县：行政单位
眩	ʃen22	眩：晕眩，眩目
穴	ʃet033	穴：穴位
淵	ʒen44	渊：深渊，渊源
吞	tʰun44	吞：不嚼咽下
跟	ken44	跟：跟随，脚跟
根	kiun44	根：树根，根本
懇	kʰen31	恳：恳求，诚恳
墾	kʰen31	垦：开垦，垦荒
啃	ŋat031	啃：啃皮
痕	hen22	痕：痕迹，伤痕
很	hen44	很：很多，好得很
恨	hen51	恨：恨他，仇恨
恩	en44	恩：恩德，周恩来
彬	pin44	彬：文质彬彬
賓	pin44	宾：贵宾，宾客
檳	pin44	槟：槟榔
濱	pin44	滨：哈尔滨
殯	pin51	殡：出殡
鬢	paŋ44	鬓：鬂角
筆	pit031	笔：毛笔，笔记
潷	pi51	滗：按住渣滓滤出汤汁
畢	pit031	毕：毕业，完毕
必	pit031	必：必须，务必
拼	pʰin44	拼：拼命
匹	pʰit031	匹：一匹布，匹配
貧	pʰin22	贫：贫农，清贫
頻	pʰin22	频：频繁，调频
蘋	pʰin22	苹：苹果
弼	pʰet031	弼：弼马温，任弼时
閩	men22	闽：福建简称
民	min22	民：人民，民族
憫	men44	悯：怜悯，悲天悯人
敏	men44	敏：灵敏，敏捷
抿	min31	抿：小口喝酒
泯	men22	泯：泯灭
密	met033	密：秘密，密封
蜜	met033	蜜：蜂蜜，蜜蜂
鱗	lin22	鳞：鱼鳞
磷	lin22	磷：磷肥
鄰	lin22	邻：近邻，邻居
吝	ŋek031	吝：吝啬，不吝
栗	lit033	栗：板栗，栗子
津	tsin44	津：天津
儘	tsʰin51	尽：尽前头（最前面）
進	tsin51	进：前进，进步
晉	tsim31	晋：晋朝，山西简称
親	tsʰin44	亲：亲生，父亲
親	tsʰin44	亲：亲家
瀙	tsim31	瀙：水冷，天冷
七	tsʰit031	七：数字
漆	tsʰit031	漆：油漆
秦	tʃʰim22	秦：姓，秦国
盡	tsʰin51	尽：尽量，尽力
疾	tsʰit033	疾：疾病，残疾
辛	sin44	辛：辛苦，艰辛
薪	sin44	薪：薪水
新	sin44	新：新旧，革新
信	sin51	信：书信，相信
訊	sin31	讯：通讯
悉	sit031	悉：熟悉
膝	tsʰit031	膝：膝盖
蟋	sit031	蟋：蟋蟀
珍	tʃin44	珍：珍珠，珍贵
鎭	tʃin31	镇：小镇，镇压
趁	tʃʰaŋ51	趁：趁机，趁车，趁钱
陳	tʃʰin22	陈：姓，陈年，陈列
塵	tʃʰim22	尘：灰尘，尘土
陣	tʃʰin51	阵：布阵，阵雨
侄	tʃʰit033	侄：侄子，内侄
秩	tsit031	秩：秩序
榛	tʃʰim22	榛：榛子
臻	tsin44	臻：聂荣臻
襯	tʃʰen51	衬：里衬，衬衫
瑟	set031	瑟：萧瑟，琴瑟
蝨	set031	虱：虱子，头虱
眞	tʃin44	真：真假，认真
診	tʃin44	诊：急诊，诊脉
疹	tʃin44	疹：麻疹
振	tʃin31	振：振动，振奋
震	tʃin31	震：地震，震动
質	tʃit031	质：质量，品质
神	ʃin22	神：精神，神仙
實	ʃit033	实：老实，实在
身	ʃin44	身：身体，上身
申	ʃin44	申：地支，申请
伸	ʃin44	伸：伸手，延伸
娠	ʃin22	娠：妊娠
失	ʃit031	失：失去，丧失
室	ʃit031	室：室内，教室
辰	ʃin22	辰：地支，辰光，时辰
晨	ʃin22	晨：早晨
臣	ʃin22	臣：大臣，臣服
腎	ʃin51	肾：身体
愼	ʃim31	慎：谨慎，慎重
人	ȵin22	人：人民，老人
仁	jin22	仁：仁义，桃仁
忍	ȵiun44	忍：忍住，忍受
認	ȵin51	认：认得，承认
刃	jin31	刃：刀刃
韌	ȵiun51	韧：不易断
日	ȵit031	日：日期，日头，一日
巾	kiun44	巾：毛巾
緊	kin31	紧：松紧，紧张
吉	kit031	吉：吉利，大吉
僅	kʰiun31	仅：仅仅，不仅
銀	ȵiun22	银：银子，银行
釁	ʃim31	衅：挑衅
因	jin44	因：原因，因素
姻	jim44	姻：婚姻
印	jin51	印：手印，图章
乙	jek031	乙：天干
一	jit031	一：一定，一个
壹	jit031	壹：
寅	ʒʅ22	寅：地支
引	ʒin31	引：吸引，牵引，引诱，引逗
逸	ʒit033	逸：劳逸结合，孙逸仙
斤	kin44	斤：斤两
筋	kiun44	筋：牛筋，筋骨
謹	kiun31	谨：谨慎，严谨
勁	kin51	劲：有劲
訖	ȵiet031	讫：收讫
乞	kʰi31	乞：乞讨
勤	kʰiun22	勤：辛勤，勤劳
芹	kʰiun22	芹：芹菜，水芹
近	kʰiun44	近：远近，近期
欣	ʃun44	欣：欣欣向荣
殷	jim44	殷：姓，殷勤
隱	jun31	隐：隐蔽，隐身
癮	ȵien51	瘾：烟瘾
奔	pen44	奔：奔跑
本	pun31	本：本来，书本
畚	pun51	畚：畚箕
不	put031	不：否定，不过
噴	pʰun51	喷：喷水
噴	pʰun51	喷：喷香
盆	pʰun22	盆：脸盆，盆地
笨	pun51	笨：笨蛋
脖	pou22	脖：脖子
勃	pʰut033	勃：蓬勃，勃然
門	mun22	门：关门，门票
悶	men31	闷：气闷，闷热
沒	mut033	没：出没
敦	tun44	敦：敦厚，伦敦
墩	tun44	墩：桥墩
頓	tun31	顿：顿脚，停顿
扽	tʰun51	扽：用力猛地一拉
褪	tʰei51	褪：褪戒指
屯	tʰun22	屯：屯田
豚	tʰun22	豚：海豚，河豚
飩	tʰun44	饨：馄饨
臀	tʰun22	臀：臀部，窟臀
盾	tun51	盾：矛盾，盾牌
沌	tʃʰuk033	沌：混沌
鈍	tʰun51	钝：迟钝，刀钝
遁	tun31	遁：遁走，逃遁
突	tʰut031	突：突出，突然
凸	tʰut033	凸：凸起
嫩	lun51	嫩：不老，稚嫩
論	lun51	论：论语
侖	lun22	仑：昆仑
論	lun51	论：讨论，论文
尊	tsun44	尊：尊敬，钵头
卒	tsut031	卒：兵卒
村	tsʰun44	村：村庄
寸	tsʰun51	寸：尺寸
猝	tsʰei31	猝：仓猝，猝死
存	sun22	存：存折，储存
蹲	tun44	蹲：蹲下
孫	sun44	孙：姓，子孙
損	sun31	损：损坏，破损
遜	sun44	逊：谦逊
昆	kʰun44	昆：昆明，昆仑山，昆仲
滾	kun31	滚：滚动，水开，骂人话
棍	kun51	棍：棍棒
骨	kut031	骨：骨头，骨气
坤	kʰun44	坤：乾坤
綑	kʰun31	捆：捆住
困	kʰun51	困：困难
睏	kʰun51	睏：睡觉
窟	kʰut031	窟：窟窿，窟臀
昏	fun44	昏：昏倒，黄昏
婚	fun44	婚：结婚，婚姻
忽	fut031	忽：忽然
魂	fun22	魂：鬼魂，魂灵
餛	fun22	馄：馄饨
渾	vun22	浑：水浑，浑浊
混	fun31	混：混淆，相混
核	het033	核：桃核
溫	vun44	温：温度，温和
瘟	vun44	瘟：鸡瘟，瘟鸡
穩	vun31	稳：稳定，求稳
倫	lun22	伦：天伦之乐，伦理
淪	lun22	沦：沦为，沉沦
輪	lun22	轮：车轮，轮子，轮流，轮到
律	liut033	律：纪律，法律
率	liut033	率：效率
遵	tsun44	遵：遵守
俊	tsun51	俊：英俊
荀	sun22	荀：姓，荀子
詢	sun22	询：询问，咨询
筍	sun31	笋：竹笋
迅	sin31	迅：迅速，鲁迅
浚	tsun51	浚：浚河
戌	sut031	戌：戊戌变法
恤	ʃet031	恤：体恤，抚恤
旬	sun22	旬：十天，上旬
循	sun22	循：遵循，循环
巡	sun22	巡：巡逻，出巡
馴	ʃun51	驯：驯服
殉	sun22	殉：以身殉职
椿	tʃʰun44	椿：香椿
朮	ʃut033	朮：白朮
率	sai51	率：率领
蟀	sut031	蟀：蟋蟀
摔	sai44	摔：摔跤
肫	pu22	肫：鸡肫
準	tʃun31	准：看准，瞄准
准	tʃun31	准：
圳	tʃun51	圳：田中小沟
春	tʃʰun44	春：春秋，立春
蠢	tʃʰun31	蠢：愚蠢，蠢货
出	tʃʰut031	出：出去，出发
脣	ʃun22	唇：嘴唇，唇舌
吮	ʒun44	吮：用口含吸
盾	tun31	盾：矛盾
順	ʃun51	顺：顺利，顺风
述	ʃut033	述：叙述，述职
術	ʃut033	术：技术，算术
舜	ʃun51	舜：尧舜
純	ʃun22	纯：单纯，纯粹
醇	ʃun22	醇：酒醇
閏	ʒun51	闰：闰月
潤	ʒun51	润：滋润
鈞	kiun44	钧：千钧一发
均	kiun44	均：平均，均匀
橘	kit031	橘：橘子
菌	kʰun22	菌：细菌
勻	ʒun22	匀：均匀，搅匀
允	ʒun44	允：允许
尹	ʒʅ22	尹：姓
分	fun44	分：分开，区分
吩	fun44	吩：吩咐
粉	fun31	粉：面粉，粉笔
糞	pun51	粪：猪粪，粪箕
奮	fun31	奋：勤奋，奋斗
弗	fut033	弗：
芬	fun44	芬：芬芳
紛	fun44	纷：纷繁，纠纷
彿	fut031	彿：仿佛
焚	fun22	焚：焚烧
墳	pʰun22	坟：坟墓，上坟
憤	fun31	愤：愤怒
忿	fun31	忿：忿忿不平
份	fun51	份：一份，份量
佛	fut033	佛：佛像，阿弥陀佛
文	vun22	文：文章，论文
紋	vun22	纹：花纹，纹路
蚊	mun44	蚊：蚊虫，蚊香
聞	vun22	闻：新闻，耳闻
吻	vut031	吻：接吻
刎	vut031	刎：自刎
問	mun51	问：问问题
勿	vut031	勿：
物	vut033	物：物什，物理
君	kiun44	君：君子
軍	kiun44	军：军队，参军
屈	kʰiut031	屈：委屈，屈服，路弯曲
羣	kʰiun22	群：群众，一群人
裙	kʰiun22	裙：裙子
郡	kiun44	郡：
倔	kʰiut031	倔：倔强
掘	kʰiut031	掘：挖掘
熏	ʃiun44	熏：熏陶
勳	ʃiun44	勋：勋章
葷	fun44	荤：荤菜
薰	ʃiun44	薰：薰衣草
燻	ʃiun44	熏：烟熏
訓	ʃiun51	训：教训，训人
熨	tʰɔŋ51	熨：熨斗
云	ʒun22	云：诗云
雲	ʒun22	云：乌云，白云
耘	ʒun22	耘：耘田，耕耘
韻	ʒun51	韵：押韵，韵味
運	ʒun51	运：走运，运气，运输
暈	fun44	晕：晕车，头晕
幫	pɔŋ44	帮：帮忙，相帮
榜	pɔŋ31	榜：发榜，榜样
謗	pɔŋ31	谤：诽谤
博	pɔk031	博：博士，渊博
滂	pʰɔŋ22	滂：滂沱
泊	pʰak031	泊：梁山泊
旁	pʰɔŋ22	旁：旁边，两旁
螃	pʰɔŋ22	螃：螃蟹
傍	pɔŋ51	傍：傍晚，傍热
泊	pʰak031	泊：停泊，漂泊
薄	pʰɔk033	薄：厚薄，薄弱
忙	mɔŋ22	忙：很忙，农忙，忙碌
芒	mɔŋ22	芒：芒种
茫	mɔŋ31	茫：茫茫，茫然
莽	maŋ31	莽：王莽，鲁莽
蟒	maŋ31	蟒：蟒蛇
莫	mɔk033	莫：莫非
膜	mɔk033	膜：薄膜
幕	mɔk031	幕：幕布，谢幕
寞	mɔk031	寞：寂寞
摸	mou44	摸：偷偷摸摸
當	tɔŋ44	当：应当，当官
襠	tɔŋ51	裆：裤裆
黨	tɔŋ31	党：共产党，党员
擋	tɔŋ31	挡：阻挡，挡风
當	tɔŋ51	当：当铺，典当
檔	tɔŋ51	档：档案，横档
湯	tʰɔŋ44	汤：喝汤，姓
倘	tʰɔŋ31	倘：倘使
躺	tʰɔŋ31	躺：躺下
燙	tʰɔŋ51	烫：很烫，烫发
趟	tʰɔŋ31	趟：去一趟
托	tʰɔk031	托：托盘，枪托
託	tʰɔk031	讬：托词，寄托
拓	tʰɔk031	拓：开拓
堂	tʰɔŋ22	堂：堂兄，拜堂
棠	tʰɔŋ22	棠：海棠
螳	tʰɔŋ22	螳：螳螂
唐	tʰɔŋ22	唐：姓，唐朝
糖	tʰɔŋ22	糖：白糖，糖果
塘	tʰɔŋ22	塘：池塘
盪	tʰɔŋ51	盪：用水盪盪碗
蕩	tʰɔŋ51	荡：放荡，荡秋千
度	tʰu51	度：忖度
踱	tʰu51	踱：踱方步
囊	lɔŋ22	囊：行囊
諾	lɔk033	诺：承诺，诺言
郞	lɔŋ22	郎：郎中，新郎
廊	lɔŋ22	廊：走廊，廊柱
狼	lɔŋ22	狼：动物，狼狈
螂	lɔŋ22	螂：蟑螂，螳螂
朗	lɔŋ51	朗：明朗，朗读，稀疏
浪	lɔŋ51	浪：风浪，浪费
落	lɔk033	落：落下，下落
烙	lɔk033	烙：烙饼，烙印
酪	lɔk033	酪：奶酪
洛	lɔk033	洛：洛阳
駱	lɔk033	骆：骆驼，姓
樂	lɔk033	乐：快乐，乐观
絡	lɔk033	络：联络，箩络
贓	tsɔŋ44	赃：赃物，贪赃
髒	tsɔŋ44	脏：肮脏
葬	tsɔŋ51	葬：埋葬，葬身
作	tsɔk031	作：工作，作坊
倉	tsʰɔŋ44	仓：谷仓，仓库
蒼	tsʰɔŋ44	苍：苍白，苍蝇
艙	tsʰɔŋ44	舱：船舱
錯	tsʰou51	错：错杂
藏	tsʰɔŋ22	藏：隐藏，捉迷藏
藏	tsʰɔŋ51	藏：西藏，藏族
臟	tsʰɔŋ51	臟：五脏，内脏
鑿	tsʰɔk033	凿：用凿子凿
昨	tsʰɔk033	昨：昨天
桑	sɔŋ44	桑：桑树，桑叶
喪	sɔŋ31	丧：婚喪，丧事
嗓	sɔŋ31	嗓：嗓子
喪	sɔŋ31	丧：丧失，沮丧
索	sɔk031	索：绳索，索性
剛	kɔŋ44	刚：刚刚，刚好
崗	kɔŋ44	岗：站岗，岗位
綱	kɔŋ44	纲：上纲上线
鋼	kɔŋ51	钢：钢铁，炼钢
岡	kɔŋ44	冈：井冈山
缸	kɔŋ44	缸：水缸
鋼	kɔŋ51	钢：刀鈍了，加钢钢刀
槓	kɔŋ51	杠：抬物用具
胳	kou44	胳：胳臂
各	kɔk031	各：各位
閣	kɔk031	阁：阁下，阁老
擱	kɔk031	搁：搁脚，耽搁
康	kʰɔŋ44	康：康复，健康
糠	kʰɔŋ44	糠：谷糠，砻糠
慷	kʰɔŋ31	慷：慷慨
抗	kʰɔŋ31	抗：反抗，抗战
炕	kʰɔŋ51	炕：北方睡觉用
囥	kʰɔŋ51	囥：藏，安放
昂	ŋɔŋ22	昂：昂首，气昂昂
鰐	ŋɔk033	鰐：鳄鱼
腭	ŋɔk033	腭：上腭
愕	ŋɔk033	愕：惊愕
郝	hat031	郝：姓
行	haŋ22	行：银行，行当
航	hɔŋ22	航：航行，起航
杭	hɔŋ22	杭：杭州
鶴	hɔk033	鹤：仙鹤
骯	ɔŋ44	肮：肮脏
惡	ɔk031	恶：凶恶，恶毒
娘	ȵiɔŋ22	娘：爹娘，娘舅
釀	ʒɔŋ51	酿：酒酿，酿酒
良	liɔŋ22	良：良好，优良
凉	liɔŋ22	凉：风凉，凉快
量	liɔŋ51	量：量尺寸
糧	liɔŋ22	粮：粮食，口粮
梁	liɔŋ22	梁：姓，梁山
粱	liɔŋ22	粱：高粱
兩	liɔŋ31	两：两个
兩	liɔŋ31	两：斤两
亮	liɔŋ51	亮：天亮，亮光
諒	liɔŋ51	谅：原谅，谅解
輛	liɔŋ22	辆：一辆车
量	liɔŋ51	量：数量，气量
略	liɔk033	略：战略，略微
掠	liɔk033	掠：抢掠，掠夺
將	tsiɔŋ44	将：将来
漿	tsiɔŋ44	浆：米浆，浆糊
蔣	tsiɔŋ31	蒋：姓，蒋介石
奬	tsiɔŋ31	奖：奖品，得奖
槳	tsiɔŋ31	桨：划桨
醬	tsiɔŋ51	酱：酱油，辣酱
將	tsiɔŋ51	将：大将
爵	tsiɔk031	爵：爵位
雀	tsiɔk031	雀：打麻雀（麻将），吃谷雀，雀雀儿，麻雀
槍	tsʰiɔŋ44	枪：手枪，长枪
搶	tsʰiɔŋ31	抢：抢东西
嗆	tsʰɔŋ51	呛：呛水，咳嗽
鵲	siak031	鹊：喜鹊
牆	tsʰiɔŋ22	墙：墙壁，砌墙
匠	siɔŋ51	匠：匠人，木匠
嚼	tsiɔk031	嚼：嚼碎，咀嚼
相	siɔŋ44	相：互相，相帮
箱	siɔŋ44	箱：箱子，皮箱
廂	siɔŋ44	厢：厢房，车厢
湘	siɔŋ44	湘：湖南简称
襄	siɔŋ44	襄：襄阳
鑲	siɔŋ44	镶：镶牙
想	siɔŋ31	想：思考，想念
相	siɔŋ51	相：相貌，看相
削	siɔk031	削：削皮，剥削
詳	siɔŋ22	详：详细
祥	siɔŋ22	祥：慈祥
象	siɔŋ51	象：大象
像	siɔŋ51	像：像章，相像
翔	siɔŋ22	翔：飞翔
張	tʃɔŋ44	张：姓，一张纸
長	tʃɔŋ31	长：省长，长高
漲	tʃɔŋ51	涨：涨价，涨潮
帳	tʃɔŋ51	帐：蚊帐，帐子
脹	tʃɔŋ51	胀：吃胀，肿胀
賬	tʃɔŋ51	账：算账，账簿
着	tʃɔk031	着：着衣裳，一着棋，着棋
