#漢字	音標	解釋
多	tɔ453	多：多少
鑊	wɔk022	镬：锅（炒菜用）
汪	wɔŋ453	汪：汪洋
方	fu̯ɔŋ453	方：地方
肪	fu̯ɔŋ453	肪：脂肪
坊	fu̯ɔŋ453	坊：作坊
倣	fu̯ɔŋ35	仿：仿效
放	fu̯ɔŋ33	放：放手
芳	fu̯ɔŋ453	芳：芳香
妨	fu̯ɔŋ31	妨：妨害，不妨
紡	fu̯ɔŋ35	纺：纺织
仿	fu̯ɔŋ35	仿：相仿，仿照
彷	fu̯ɔŋ35	仿：仿佛
訪	fu̯ɔŋ35	访：访问
房	fu̯ɔŋ13	房：房间
防	fu̯ɔŋ31	防：防止
縛	fu̯ɔk022	缚：缚鞋带，缚鸡
亡	mu̯ɔŋ13	亡：死亡
芒	mu̯ɔŋ453	芒：芒果
網	mu̯ɔŋ13	网：鱼网
忘	mɔŋ31	忘：忘记
妄	mu̯ɔŋ13	妄：狂妄
望	mu̯ɔŋ31	望：希望
匡	wɔŋ453	匡：赵匡胤
筐	wɔŋ453	筐：箩筐
眶	wɔŋ453	眶：眼眶
框	wɔŋ453	框：门框
狂	kʰɔŋ13	狂：发狂
况	kʰɔŋ33	况：情况
枉	wɔŋ35	枉：冤枉
王	wɔŋ13	王：姓；大王
往	wɔŋ13	往：来往
旺	wɔŋ31	旺：兴旺
邦	pɔŋ453	邦：城邦；刘邦
綁	pu̯ɔŋ35	绑：松绑
剝	mu̯ɔk033	剥：剥削
駁	pɔk033	驳：反驳
胖	pun31	胖：肥胖
樸	pʰɔk033	朴：朴素
龐	pʰu̯ɔŋ31	庞：庞大
棒	poŋ13	棒：木棒
蚌	pʰu̯ɔŋ13	蚌：蚌壳
雹	pʰau453	雹：冰雹
樁	tʃu̯ɔŋ453	桩：打桩
桌	tʃʰɔk033	桌：书桌
卓	tʃʰu̯ɔk033	卓：卓越
琢	tɔk033	琢：琢磨
啄	tɔk033	啄：啄木鸟
戳	tʃʰu̯ɔk033	戳：戳破，戳穿
撞	tʃu̯ɔŋ31	撞：碰撞
濁	tʃɔk022	浊：清浊，浑浊
捉	tʃu̯ɔk033	捉：捕捉
窗	tʃʰu̯ɔŋ453	窗：窗户
鐲	tʃʰu̯ɔk033	镯：镯子，手镯
雙	ʃu̯ɔŋ453	双：一双
朔	ʃu̯ɔk033	朔：朔月（初一）
江	ku̯ɔŋ453	江：长江
扛	kʰu̯ɔŋ453	扛：肩扛
肛	ku̯ɔŋ453	肛：肛门
講	ku̯ɔŋ35	讲：讲话
港	ku̯ɔŋ35	港：港口
降	ku̯ɔŋ33	降：投降
虹	hoŋ13	虹：彩虹
覺	ku̯ɔk033	觉：知觉
角	ku̯ɔk033	角：角色
餃	kau35	饺：水饺
腔	hu̯ɔŋ453	腔：口腔
確	kʰu̯ɔk033	确：的确
殼	hu̯ɔk033	壳：蛋壳
嶽	ŋɔk022	岳：五岳
岳	ŋɔk022	岳：姓
樂	ŋɔk022	乐：音乐
降	ku̯ɔŋ33	降：下降
項	hu̯ɔŋ31	项：项链
巷	hu̯ɔŋ31	巷：小巷，街巷
學	hɔk022	学：学习
握	ʔak055	握：握手
贈	tʃɐŋ31	赠：赠送
賊	tʃʰak022	贼：做贼
僧	ɬɐŋ453	僧：唐僧
塞	ɬak055	塞：阻塞
肯	hɐŋ13	肯：肯定
刻	hak055	刻：刀刻，雕刻
刻	hak055	刻：时刻
克	hak055	克：克服
黑	hak055	黑：黑白
恆	hɐŋ31	恒：永恒
冰	peŋ453	冰：结冰
逼	pek055	逼：被逼
憑	pʰɐŋ13	凭：文凭
陵	leŋ31	陵：陵园
凌	leŋ31	凌：冰凌；凌厉
菱	leŋ31	菱：菱角
力	lek022	力：力量
即	tʃek055	即：立即
思	ʃi453	思：思念
伺	tʃʰi31	伺：伺侯
思	ʃi453	思：意思
辭	tʃʰi13	辞：告辞
詞	tʃʰi13	词：歌词
祠	tʃʰi13	祠：祠堂
似	tʃʰi13	似：相似
祀	tʃi31	祀：祭祀
巳	tʃi31	巳：地支第六
寺	tʃi31	寺：寺庙
嗣	tʃʰi13	嗣：后嗣
飼	tʃi31	饲：饲养
置	tʃi33	置：布置
癡	tʃi453	痴：痴呆
恥	tʃʰi35	耻：耻辱
持	tʃʰi35	持：坚持
痔	tʃi31	痔：痔疮
治	tʃi31	治：治安
滓	tʃu̯ɔi35	滓：渣滓
廁	tʃʰi33	厕：厕所
士	ʃi31	士：士兵
仕	ʃi31	仕：仕途
柿	ʃi13	柿：柿子
事	ʃi31	事：事情
使	ʃɐi35	使：大使馆
使	ʃɐi35	使：使用
史	ʃi35	史：历史
駛	ʃɐi35	驶：驾驶
之	tʃi453	之：之前
崩	pɐŋ453	崩：山崩
北	pak055	北：北方
朋	pʰaŋ31	朋：朋友
墨	mak022	墨：笔墨
默	mak022	默：默写
登	tɐŋ453	登：登山
燈	tɐŋ453	灯：灯光
等	tɐŋ35	等：高等
凳	tɐŋ33	凳：凳子
得	tak055	得：得到
德	tak055	德：道德
騰	tʰɐŋ13	腾：奔腾
藤	tʰɐŋ13	藤：藤椅
疼	tʰɐŋ13	疼：疼痛
鄧	tɐŋ31	邓：姓
澄	kʰeŋ13	澄：澄清
特	tak022	特：特别
能	nɐŋ13	能：才能
棱	leŋ31	棱：棱角
肋	lak022	肋：肋骨
勒	lak022	勒：勒索
曾	tʃɐŋ453	曾：姓
增	tʃɐŋ453	增：增加
憎	tʃɐŋ453	憎：憎恨
則	tʃak055	则：否则
曾	tʃʰɐŋ13	曾：曾经
層	tʃʰɐŋ31	层：层次
芝	tʃi453	芝：灵芝
止	tʃi35	止：停止
趾	tʃi35	趾：脚趾
址	tʃi35	址：地址
志	tʃi33	志：志气
誌	tʃi33	志：标志
痣	tʃi33	痣：与胎记不同
嗤	tʃʰi453	嗤：嗤笑
齒	tʃʰi35	齿：牙齿
詩	ʃi453	诗：诗人
始	tʃʰi35	始：开始
試	ʃi33	试：考试
時	ʃi31	时：时间
市	ʃi13	市：市场
恃	tʃʰi13	恃：自恃
侍	ʃi31	侍：服侍
而	ȵi13	而：而且
耳	ȵi13	耳：耳朵
餌	nei31	饵：钓饵
基	kei453	基：基本
箕	kei453	箕：粪箕
己	kei35	己：自己
紀	kei35	纪：纪律
記	kei33	记：记号
欺	hei453	欺：欺负
起	hei35	起：起床
杞	kei35	杞：枸杞
其	kʰei31	其：其他
棋	kʰei13	棋：下棋
期	kʰei13	期：日期
旗	kʰei13	旗：红旗
忌	kei31	忌：禁忌
疑	ȵi13	疑：怀疑
擬	ȵi13	拟：拟人
嬉	hei35	嬉：嬉戏
煕	hei453	熙：康熙
喜	hei35	喜：喜欢
醫	ʔei453	医：医生
意	ʔei33	意：大意
飴	i31	饴：饴糖
已	i13	已：已经
以	i13	以：可以
異	i31	异：异同
幾	kei453	几：几乎
機	kei453	机：机器
譏	kei453	讥：讥笑
饑	kei453	饥：饥荒
幾	kei35	几：几个
既	kei33	既：既然
豈	hei35	岂：岂有此理
氣	hei33	气：空气
汽	hei33	汽：汽车
祈	kʰei31	祈：祈祷
毅	ŋɐi31	毅：毅力
希	hei453	希：希望
稀	hei453	稀：稀有
衣	ʔei453	衣：衣服
依	ʔei453	依：依靠
眨	tʃam35	眨：眨眼
插	tʃʰap033	插：插秧
饞	ʃam13	馋：嘴馋
讒	ʃam13	谗：谗言
閘	tʃap022	闸：闸门
煠	ʃap022	炸：把食物放入沸水或沸油里弄熟
杉	tʃʰam33	杉：杉树
尷	kam33	尴：尴尬
減	kam35	减：加减
鹼	kan35	碱：发酵用
夾	kiap022	夹：夹子；夹东西
裌	kap033	夹：夹衣，夹袄
恰	tʃap033	恰：恰当
咸	hɔm31	咸：咸丰
鹹	ham13	咸：咸淡
陷	hɔm31	陷：陷井
餡	ham31	馅：饺子馅（多）
狹	hiap022	狭：狭窄
峽	hip022	峡：三峡
洽	tʃap033	洽：洽谈
衫	ʃam453	衫：衬衫
監	kam453	监：监视，监牢
鑒	kam33	鉴：鉴定
監	kam33	监：国子监
甲	kap033	甲：天干第一
嵌	kʰiam13	嵌：镶嵌
巖	ŋam31	岩：岩石
銜	hɔm13	衔：军衔
艦	lam31	舰：军舰
匣	hap022	匣：匣子
鴨	ʔap033	鸭：鸭子
押	ʔap033	押：押送
壓	ʔat033	压：压力
貶	pin35	贬：贬值
黏	nim453	黏：黏米，黏合剂
聶	niap033	聂：姓（土）
廉	lim31	廉：廉洁
鐮	lim31	镰：镰刀
簾	lim13	帘：窗帘
斂	lim13	敛：收敛
殮	lim13	殓：殡殓
獵	lip022	猎：打猎
尖	tʃim453	尖：尖刀
殲	tʃʰim453	歼：歼灭
接	tʃip033	接：接待
籤	tʃʰim453	签：牙签
簽	tʃʰim453	签：签名
妾	tʃʰip033	妾：妻妾
潛	tʰim33	潜：潜水
漸	tʃim31	渐：逐渐
捷	tʃit022	捷：捷报
沾	nim453	沾：沾湿
粘	nim453	粘：粘贴
瞻	tʃim453	瞻：瞻仰
占	tʃim453	占：占卜
佔	tʃim33	占：占有，占地方
摺	tʃip033	折：折被子，折纸
陝	ʃim35	陕：陕西
閃	ʃim35	闪：闪电
攝	ʃip033	摄：摄影
蟾	ʃim31	蟾：蟾蜍，蟾酥
涉	ʃip033	涉：干涉
染	ȵim13	染：污染
檢	kim35	检：检查
臉	lim13	脸：脸色
鉗	kʰiam13	钳：钳子
儉	kim31	俭：节俭
驗	ȵim31	验：试验
險	him35	险：危险
淹	im35	淹：淹没
閹	im453	阉：阉割
掩	im35	掩：掩护
厭	im33	厌：讨厌
炎	im31	炎：炎热
鹽	im13	盐：食盐(名）
閻	ȵim13	阎：阎王
檐	ʃim13	檐：屋檐
艷	im31	艳：鲜艳
焰	im31	焰：火焰
鹽	im13	盐：腌制（动）
葉	ip022	叶：树叶
頁	ip022	页：一页
劍	kim33	剑：宝剑
劫	kip033	劫：抢劫
欠	him33	欠：欠债
怯	hip022	怯：胆怯
嚴	ȵim13	严：严格
業	ȵip022	业：事业
脅	hip022	胁：威胁
醃	ip033	醃：醃制
腌	ip033	腌：腌制
掂	tim33	掂：掂分量
點	tim35	点：点头
店	tim33	店：商店
踮	tim453	踮：踮脚尖
跌	tit033	跌：跌打损伤
添	tʰim453	添：添加
舔	tʰim13	舔：以舌取物
帖	tʰip033	帖：请帖
貼	tʰip033	贴：张贴
甜	tʰim13	甜：甜蜜
疊	tip022	叠：折叠
碟	tip033	碟：碟子
牒	tip022	牒：通牒
蝶	tip022	蝶：蝴蝶
諜	tip022	谍：间谍
刮	kwat033	刮：搜刮
還	wan31	还：还有
還	wan31	还：还原，还钱
環	wan31	环：环境
患	wan31	患：忧患；患病
宦	wan31	宦：宦官
彎	wan453	弯：弯曲
灣	wan453	湾：海湾
戀	lyn31	恋：恋爱
劣	lyt033	劣：恶劣
全	tʃʰyn31	全：全部
泉	tʃʰyn31	泉：泉水
絕	tʃyt022	绝：绝对
宣	ɬyn453	宣：宣传
選	ɬyn35	选：选举
雪	ɬyt033	雪：下雪
旋	ɬyn31	旋：旋转
轉	tʃyn35	转：转送，转学
轉	tʃyn33	转：转圆圈
傳	tʃʰyn31	传：传达
篆	ɬyn31	篆：篆书
傳	tʃyn31	传：自传
專	tʃyn453	专：专门
磚	tʃyn453	砖：砖头
拙	tʃyt033	拙：笨拙
川	tʃʰyn453	川：四川
穿	tʃʰyn453	穿：穿着
喘	tʃʰyn35	喘：哮喘
串	tʃʰyn33	串：串通
船	ʃyn13	船：轮船
說	ʃyt033	说：小说
軟	ȵyn13	软：软硬
捲	kʰyn35	卷：卷起（动）(多）
眷	kyn33	眷：眷属
卷	kyn35	卷：试卷（名）
絹	kyn453	绢：手绢
圈	kʰyn453	圈：圆圈
拳	kʰyn13	拳：拳头
權	kʰyn13	权：权力
顴	kʰyn13	颧：颧骨
圈	kʰyn453	圈：猪圈
倦	kyn31	倦：疲倦
圓	yn31	圆：圆圈
員	yn13	员：人员
院	yn35	院：院子(小）
緣	yn31	缘：缘分
沿	yn35	沿：沿路
鉛	ʃyn13	铅：铅笔
捐	kyn453	捐：捐款
悅	yt022	悦：愉悦
閱	yt022	阅：阅读
藩	fan13	藩：曾国藩
反	fan35	反：反对
販	fan33	贩：贩卖
髮	fat033	发：头发
發	fat033	发：发财
翻	fan453	翻：翻转
番	fan453	番：几番
煩	fan13	烦：麻烦
礬	fan13	矾：明矾
繁	fan31	繁：繁华
飯	fan31	饭：吃饭
伐	fat022	伐：讨伐
筏	fat022	筏：竹筏
罰	fat022	罚：罚款
晚	man13	晚：晚上
挽	wan35	挽：挽留，挽手
萬	man31	万：一万
蔓	man31	蔓：瓜蔓
襪	mat022	袜：袜子
厥	kʰyt033	厥：突厥
勸	hyn33	劝：规劝
券	kyn33	券：国库券，证券
掘	kwat022	掘：挖掘
元	ȵyn31	元：元旦
原	ȵyn31	原：原来
源	ȵyn13	源：来源
阮	yn13	阮：姓
願	ȵyn31	愿：愿望
月	ȵyt022	月：月亮
喧	ɬyn453	喧：喧闹
冤	yn453	冤：冤枉
宛	wun35	宛：宛然；人名用字
怨	yn33	怨：埋怨
袁	yn13	袁：姓
轅	yn13	辕：辕门；轩辕
園	yn13	园：花园
援	wun31	援：援助
遠	yn13	远：远近
越	yt022	越：越来越
曰	iœt022	曰：子曰
粵	yt022	粵：粤菜
决	kʰyt033	决：决定
訣	kʰyt033	诀：口诀
犬	hyn35	犬：狗
缺	kʰyt033	缺：缺钱，缺口
血	hyt033	血：流血
玄	hyn31	玄：玄妙
懸	hyn31	悬：悬崖
縣	yn31	县：行政单位
眩	hyn31	眩：眩目，晕眩
穴	yt022	穴：穴位
淵	yn453	渊：深渊
吞	tʰɐn453	吞：吞口水
跟	kɐn453	跟：跟随
根	kɐn453	根：树根
懇	hɐn35	恳：恳求
墾	hɐn35	垦：开垦
啃	hɐŋ35	啃：啃树皮
痕	hɐn13	痕：痕迹
很	hɐn35	很：很多
恨	hɐn31	恨：仇恨
恩	iɐn453	恩：恩德
彬	pɐn453	彬：文质彬彬
賓	pɐn453	宾：贵宾
檳	pɐn453	槟：槟榔
殯	pɐn33	殡：出殡
鬢	pɐn33	鬓：鬂角
筆	pat055	笔：毛笔
畢	pat055	毕：毕业
必	pit033	必：必须
匹	pʰat055	匹：匹配；一匹布
蘋	pʰɐn31	苹：苹果
頻	pʰɐn31	频：频繁
貧	pʰɐn13	贫：贫农
弼	pat022	弼：弼马温，任弼时
閩	mɐn13	闽：福建简称
民	mɐn13	民：人民
憫	mɐn13	悯：怜悯
敏	mɐn13	敏：灵敏
密	mat022	密：秘密
蜜	mat022	蜜：蜂蜜
鄰	lɐn31	邻：邻居
鱗	lɐn13	鳞：鱼鳞
磷	lɐn31	磷：磷肥
栗	lat022	栗：栗子
津	tʃɐn453	津：天津
儘	tʃɐn31	尽：尽早，先尽旧衣服穿
進	tʃɐn33	进：前进
晉	tʃɐn33	晋：魏晋；山西简称
親	tʃʰɐn453	亲：亲家
親	tʃʰɐn453	亲：亲戚
七	tʃʰat055	七：第七
漆	tʃʰat055	漆：油漆
秦	tʃʰɐn13	秦：秦国；姓
盡	tʃɐn31	尽：尽力；尽头
疾	tʃat022	疾：疾病
薪	ɬɐn453	薪：薪水
辛	ɬɐn453	辛：辛苦
新	ɬɐn453	新：新旧
信	ɬɐn33	信：相信
訊	ɬɐn33	讯：通讯
悉	ɬek055	悉：熟悉
膝	ɬat055	膝：膝盖
珍	tʃɐn453	珍：珍珠
鎭	tʃɐn33	镇：镇压
趁	tʃʰɐn33	趁：趁机
陳	tʃʰɐn13	陈：陈年
塵	tʃʰɐn13	尘：灰尘
陣	tʃɐn31	阵：阵雨
侄	tʃat022	侄：侄子
秩	tit022	秩：秩序
臻	tʃɐn453	臻：聂荣臻
襯	tʃʰɐn33	衬：衬衫
蝨	ʃat055	虱：虱子
眞	tʃɐn453	真：真假
診	tʃʰɐn35	诊：急诊
疹	tʃʰɐn35	疹：麻疹
振	tʃɐn33	振：振动
震	tʃɐn33	震：地震
質	tʃat055	质：质量
神	ʃɐn31	神：精神
實	ʃat022	实：老实
身	ʃɐn453	身：身体
申	ʃɐn453	申：申请
伸	ʃɐn453	伸：伸手
娠	ʃɐn13	娠：妊娠
失	ʃat055	失：失去
室	ʃat055	室：室内
辰	ʃɐn13	辰：时辰
晨	ʃɐn13	晨：早晨
臣	ʃɐn13	臣：大臣
腎	ʃɐn13	肾：肾脏，肾虚
愼	ʃɐn31	慎：慎重
人	ȵiɐn13	人：人民
仁	ȵiɐn31	仁：仁义
忍	ȵiɐn35	忍：忍住
刃	iɐn31	刃：刀刃
認	ȵiɐn31	认：认得
韌	ȵiɐŋ33	韧：坚韧
日	ȵiat022	日：日期
巾	kɐn453	巾：毛巾
緊	kɐn35	紧：紧张
吉	kat055	吉：吉利
僅	kɐn35	仅：不仅
銀	ŋɐn13	银：银行
釁	iɐn31	衅：挑衅
因	iɐn453	因：原因
姻	iɐn453	姻：婚姻
洇	iam33	洇：液体向四周散开或渗透
印	iɐn33	印：手印
一	iat055	一：一定
乙	yt033	乙：天干
寅	iɐn13	寅：地支
引	iɐn13	引：吸引
逸	iat022	逸：劳逸结合
斤	kɐn453	斤：斤两
筋	kɐn453	筋：筋骨
謹	kɐn35	谨：谨慎
勁	keŋ31	劲：劲敌
訖	ŋat055	讫：收讫
乞	hat055	乞：乞讨
勤	kʰɐn13	勤：辛勤
芹	kʰɐn31	芹：芹菜
近	kʰɐn13	近：远近
欣	hɐn453	欣：欣欣向荣
殷	iɐn453	殷：殷勤；姓
隱	iɐn35	隐：隐身，隐形
癮	iɐn13	瘾：烟瘾
奔	pɐn453	奔：东奔西走
本	pun35	本：书本
逩	pɐn453	奔：投奔，奔六十岁
不	pat055	不：不过，不是
噴	pʰɐn33	喷：喷水
噴	pʰɐn33	喷：喷香；喷嚏
盆	pʰun13	盆：脸盆
笨	pɐn31	笨：笨蛋
勃	put022	勃：勃然大怒
門	mun13	门：关门
悶	mun31	闷：闷热
沒	mut022	没：沉没
敦	tɐn453	敦：敦厚
墩	tɐn453	墩：桥墩
頓	tɐn35	顿：整顿
頓	tɐn31	顿：停顿
褪	tʰʊi33	褪：褪色；褪戒指
豚	tʰyn31	豚：海豚
飩	tʰɐn453	饨：馄饨
臀	tin31	臀：臀部
炖	tɐn31	炖：炖蛋，炖鸡
囤	tʰyn31	囤：囤积
沌	tɐn31	沌：混沌
盾	tɐn31	盾：矛盾
鈍	tɐn31	钝：迟钝
突	tak022	突：突然
凸	tat022	凸：凸起
嫩	nyn31	嫩：稚嫩，菜嫩
論	lɐn31	论：论语
侖	lɐn31	仑：昆仑
論	lɐn31	论：讨论，论文
尊	tʃyn453	尊：尊敬
卒	tʃat055	卒：兵卒
村	tʃʰyn453	村：村庄
忖	tʃʰyn35	忖：思量，忖度
寸	tʃʰyn33	寸：尺寸
猝	tʃat055	猝：猝死，仓猝
存	tʃʰyn31	存：存折
孫	ɬyn453	孙：子孙
損	ɬyn35	损：损坏
遜	ɬyn33	遜：谦逊
昆	kwʰɐn453	昆：昆虫
崑	kwʰɐn453	昆：昆仑
滾	kwɐn35	滚：滚动
棍	kwɐn33	棍：棍棒
骨	kwat055	骨：骨头
坤	kwʰɐn453	坤：乾坤
綑	kwʰɐn35	捆：捆住
困	kwʰɐn33	困：困难
睏	kwʰɐn33	睏：睏觉（睡觉），犯睏
窟	kwʰat055	窟：窟窿
窟	fat055	窟：屎窟
昏	fɐn453	昏：黄昏
婚	fɐn453	婚：结婚
忽	fat055	忽：忽然
魂	wɐn13	魂：鬼魂
餛	wɐn31	馄：馄饨
渾	wɐn31	浑：浑浊，水浑
混	kwɐn31	混：相混，混淆
核	ŋɐn453	核：果核(核：仁）
溫	wɐn453	温：温度
瘟	wɐn453	瘟：鸡瘟
穩	wɐn35	稳：稳定
倫	lɐn13	伦：伦理
淪	lɐn13	沦：沉沦
輪	lɐn13	轮：车轮
律	lat022	律：纪律
率	ɬat055	率：率领
遵	tʃɐn453	遵：遵守
俊	tʃɐn33	俊：英俊
詢	tʃʰɐn31	询：询问
筍	ɬɐn35	笋：竹笋
榫	ɬɐn35	榫：榫头
迅	ɬɐn33	迅：迅速
浚	tʃɐn33	浚：疏浚，浚河
戌	ɬat055	戌：戊戌变法
恤	ɬat055	恤：体恤
旬	tʃʰɐn13	旬：上旬
循	tʃʰɐn13	循：循环
巡	tʃʰɐn13	巡：巡逻
殉	tʃʰɐn13	殉：殉职
椿	tʃʰɐn453	椿：椿树，香椿
朮	ʃat022	朮：白朮
率	lat022	率：效率
蟀	ɬak055	蟀：蟋蟀
準	tʃɐn35	准：标准，准则
准	tʃɐn35	准：准确；准许
圳	tʃɐn33	圳：深圳；田中小沟
春	tʃʰɐn453	春：春秋
蠢	tʃʰɐn35	蠢：愚蠢
出	tʃʰat055	出：出去
脣	ʃɐn13	唇：嘴唇
盾	tɐn31	盾：矛盾
吮	wɐn13	吮：用口含吸，吮吸
順	ʃɐn31	顺：顺利
術	ʃat022	术：技术
述	ʃat022	述：叙述
舜	ʃɐn33	舜：尧舜
純	ʃɐn31	纯：单纯
醇	ʃɐn31	醇：酒醇
潤	iɐn31	润：滋润
閏	ȵiɐn31	闰：闰月
均	kwʰɐn453	均：平均
鈞	kwʰɐn453	钧：千钧一发
橘	kwat055	橘：橘子
菌	kwʰɐn35	菌：细菌
勻	iɐn13	匀：均匀
允	wɐn13	允：允许
尹	wɐn13	尹：姓
分	fɐn453	分：分开
吩	fɐn453	吩：吩咐
粉	fɐn35	粉：面粉
糞	fɐn33	粪：猪粪
奮	fɐn13	奋：奋斗
芬	fɐn453	芬：芬芳
紛	fɐn453	纷：纠纷
彿	fat022	佛：仿佛
焚	fɐn13	焚：焚烧
墳	fɐn31	坟：坟墓
憤	fɐn13	愤：愤怒
忿	fɐn13	忿：忿忿不平
份	fɐn31	份：一份
佛	fat022	佛：佛像
文	mɐn13	文：论文
紋	mɐn13	纹：花纹
蚊	mɐn453	蚊：蚊香
聞	mɐn13	闻：新闻
吻	mɐn35	吻：接吻
刎	mɐn35	刎：自刎
問	mɐn31	问：问问题
物	mat022	物：物理
勿	mat022	勿：非礼勿视
君	kwɐn453	君：君子
軍	kwɐn453	军：参军
屈	kwʰat055	屈：委屈
羣	kwʰɐn31	群：群众
裙	kwʰɐn13	裙：连衣裙，裙子
郡	kwɐn31	郡：郡主
掘	kwat022	掘：挖掘，掘墓
倔	kwʰat055	倔：倔强
熏	fɐn453	熏：熏陶
勳	fɐn453	勋：勋章
薰	fɐn453	薰：薰衣草
訓	fɐn33	训：教训
云	wɐn13	云：人云亦云
雲	wɐn13	云：白云
耘	wɐn13	耘：耕耘
韻	wɐn31	韵：韵味
運	wɐn31	运：运气
暈	wɐn13	晕：晕车
幫	pɔŋ453	帮：帮忙
榜	pu̯ɔŋ35	榜：榜样
謗	pu̯ɔŋ35	谤：诽谤
博	pɔk033	博：博士
滂	pʰu̯ɔŋ31	滂：滂沱
泊	pu̯ɔk022	泊：梁山泊
旁	pʰu̯ɔŋ13	旁：旁边
螃	pʰu̯ɔŋ13	螃：螃蟹
傍	pʰu̯ɔŋ31	傍：傍晚
薄	pɔk022	薄：薄弱
泊	pu̯ɔk022	泊：停泊，淡泊
忙	mɔŋ13	忙：农忙
芒	mu̯ɔŋ453	芒：麦芒
茫	mu̯ɔŋ13	茫：茫然
莽	mu̯ɔŋ13	莽：鲁莽
蟒	mu̯ɔŋ13	蟒：蟒蛇
莫	mu̯ɔk022	莫：莫非；姓
膜	mu̯ɔk033	膜：薄膜
幕	mu̯ɔk033	幕：谢幕
寞	mu̯ɔk033	寞：寂寞
摸	mɔ453	摸：偷偷摸摸
當	tu̯ɔŋ33	当：当铺
黨	tu̯ɔŋ35	党：党员
擋	tu̯ɔŋ35	挡：阻挡
當	tu̯ɔŋ453	当：当时
檔	tu̯ɔŋ35	档：档案
湯	tʰu̯ɔŋ453	汤：喝汤；姓
倘	tʰu̯ɔŋ35	倘：倘若
躺	tʰu̯ɔŋ35	躺：躺下
燙	tʰu̯ɔŋ453	烫：烫手
趟	tʰu̯ɔŋ33	趟：一趟
託	tʰɔk033	托：推托，寄托
托	tʰɔk033	托：托盘，托下巴
堂	tʰu̯ɔŋ31	堂：堂兄
棠	tʰu̯ɔŋ31	棠：海棠
螳	tʰu̯ɔŋ31	螳：螳螂
唐	tʰu̯ɔŋ13	唐：唐朝
糖	tʰu̯ɔŋ13	糖：糖果
塘	tʰu̯ɔŋ13	塘：池塘
蕩	tu̯ɔŋ31	荡：放荡
踱	tɔk022	踱：踱方步
囊	nu̯ɔŋ13	囊：行囊
諾	nɔk022	诺：承诺
郞	lu̯ɔŋ13	郎：郎中
廊	lu̯ɔŋ13	廊：走廊
狼	lu̯ɔŋ13	狼：豺狼
朗	lu̯ɔŋ13	朗：明朗
浪	lu̯ɔŋ31	浪：浪费
晾	liaŋ31	晾：晾衣服
落	lu̯ɔk022	落：下落
烙	lu̯ɔk033	烙：烙印
駱	lu̯ɔk033	骆：骆驼
洛	lu̯ɔk033	洛：洛阳
絡	lu̯ɔk033	络：联络
樂	lu̯ɔk022	乐：快乐
贓	tʃu̯ɔŋ453	赃：赃款
髒	tʃɔŋ33	脏：肮脏
葬	tʃɔŋ33	葬：埋葬
作	tʃɔk033	作：工作
倉	tʃʰu̯ɔŋ453	仓：仓库
蒼	tʃʰu̯ɔŋ453	苍：苍白
艙	tʃʰu̯ɔŋ453	舱：船舱
錯	tʃʰɔ33	错：错杂
藏	tʃu̯ɔŋ31	藏：西藏
藏	tʃʰu̯ɔŋ13	藏：隐藏
臟	tʃu̯ɔŋ31	脏：内脏
鑿	tʃɔk022	凿：用凿子凿
昨	tʃok022	昨：昨天
桑	ɬu̯ɔŋ453	桑：桑树
喪	ɬu̯ɔŋ453	丧：婚丧
嗓	ɬu̯ɔŋ35	嗓：嗓子
喪	ɬu̯ɔŋ33	丧：丧失
索	ɬɔk033	索：绳索
岡	ku̯ɔŋ453	冈：井冈山
崗	ku̯ɔŋ453	岗：站岗
剛	ku̯ɔŋ453	刚：刚好
綱	kɔŋ453	纲：大纲
鋼	kɔŋ33	钢：钢铁，炼钢
缸	kɔŋ453	缸：水缸
杠	kʰɔŋ453	杠：抬物用具，高低杠
各	kɔk033	各：各位
閣	kɔk033	阁：阁下；阁楼
擱	kɔk033	搁：耽搁
康	hɔŋ453	康：健康
糠	hu̯ɔŋ453	糠：谷糠，米糠
慷	hɔŋ453	慷：慷慨
抗	kʰɔŋ33	抗：反抗
昂	ŋu̯ɔŋ13	昂：昂首
腭	hɔk022	腭：上腭
鱷	ŋɔk022	鳄：鳄鱼
鄂	ŋɔk022	鄂：湖北简称
行	haŋ31	行：品行
杭	hu̯ɔŋ31	杭：杭州
航	hu̯ɔŋ31	航：航行
鶴	hɔk022	鹤：仙鹤
骯	kʰu̯ɔŋ33	肮：肮脏
惡	ʔɔk033	恶：善恶，恶霸
娘	niaŋ13	娘：爹娘
釀	ȵiaŋ13	酿：酿酒
良	liaŋ31	良：良好
凉	liaŋ13	凉：凉快
量	liaŋ31	量：量尺寸
糧	liaŋ31	粮：粮食
梁	liaŋ13	梁：梁山；姓
粱	liaŋ13	粱：高粱
兩	liaŋ35	两：斤两
兩	liaŋ13	两：两个
捅	tʰoŋ35	捅：捅破了
痛	tʰoŋ33	痛：痛苦
禿	tʰok055	秃：秃顶
同	tʰoŋ31	同：同学
銅	tʰoŋ13	铜：铜器
桐	tʰoŋ13	桐：梧桐
筒	tʰoŋ13	筒：电筒
童	tʰoŋ13	童：儿童
瞳	tʰoŋ31	瞳：瞳孔
動	toŋ31	动：动作
洞	toŋ31	洞：山洞
獨	tok022	独：独立
讀	tok022	读：读书
犢	tok022	犊：牛犊
籠	loŋ13	笼：牢笼
