#漢字	音標	解釋
多	ɗo55	多 多少
槍	tʃʰi̯ɛŋ55	枪 手枪
搶	tʃʰi̯ɛŋ35	抢 抢东西
鵲	tʃʰi̯ɛʔ033	鹊 喜鹊
牆	tʃʰi̯ɛŋ31	墙 墙壁
匠	tʃi̯ɛŋ31	匠 木匠
嚼	ɗi̯ɛʔ033	嚼 嚼碎，咀嚼
相	ɬi̯ɛŋ55	相 互相
箱	ɬi̯ɛŋ55	箱 箱子
廂	ɬi̯ɛŋ55	厢 车厢
湘	ɬi̯ɛŋ55	湘 湖南简称
襄	ɬi̯ɛŋ55	襄 襄阳
鑲	ɬi̯ɛŋ55	镶 镶牙
想	ɬi̯ɛŋ23	想 想念
相	ɬi̯ɛŋ33	相 相貌，看相
削	ɬi̯ɛʔ033	削 剥削
詳	tʃʰi̯ɛŋ31	详 详细
祥	tʃʰi̯ɛŋ31	祥 慈祥
象	tʃi̯ɛŋ31	象 大象
像	tʃi̯ɛŋ31	像 像章，相像
橡	tʃi̯ɛŋ31	橡 橡胶；橡树
張	tʃi̯ɛŋ55	张 一张纸；姓
長	tʃʰi̯ɛŋ31	长 长短
漲	tʃi̯ɛŋ33	涨 涨价
帳	tʃi̯ɛŋ33	帐 蚊帐
賬	tʃi̯ɛŋ33	账 算账
脹	tʃi̯ɛŋ33	胀 肿胀
着	tʃi̯ɛʔ031	着 着衣，着装
暢	tʃʰi̯ɛŋ33	畅 畅快
長	tʃi̯ɛŋ35	长 生长
腸	tʃʰi̯ɛŋ31	肠 肠胃
場	tʃʰi̯ɛŋ31	场 场地
丈	tʃi̯ɛŋ31	丈 一丈；老丈人
仗	tʃi̯ɛŋ33	仗 打仗
杖	tʃi̯ɛŋ31	杖 拐杖
着	tʃi̯ɛʔ031	着 睡着；着火
莊	tʃɔŋ55	庄 村庄
裝	tʃɔŋ55	装 假装
妝	tʃɔŋ55	妆 化妆
壯	tʃɔŋ33	壮 壮大，强壮
瘡	tʃʰɔŋ55	疮 痔疮
闖	tʃʰɔŋ35	闯 闯祸
創	tʃʰɔŋ35	创 创造
牀	tʃʰɔŋ31	床 机床
狀	tʃɔŋ31	状 状元
霜	ʃi̯ɛŋ55	霜 落霜，霜降
爽	ʃɔŋ23	爽 爽快
章	tʃi̯ɛŋ55	章 文章
樟	tʃi̯ɛŋ55	樟 樟树
掌	tʃi̯ɛŋ23	掌 巴掌
障	tʃi̯ɛŋ33	障 保障
瘴	tʃi̯ɛŋ33	瘴 瘴气
酌	tʃi̯ɛʔ033	酌 酌情
昌	tʃʰi̯ɛŋ55	昌 昌盛
菖	tʃʰi̯ɛŋ55	菖 菖蒲
娼	tʃʰi̯ɛŋ55	娼 娼妓
厰	tʃʰɔŋ35	厂 厂长
唱	tʃʰi̯ɛŋ33	唱 唱歌
倡	tʃʰi̯ɛŋ55	倡 提倡
綽	tʃʰɔʔ033	绰 绰号；绰绰有余
焯	tʃʰɔʔ033	焯 把菜放在开水里焯一焯
商	ʃi̯ɛŋ55	商 商业
傷	ʃi̯ɛŋ55	伤 伤害
賞	ʃi̯ɛŋ35	赏 欣赏
晌	hi̯ɛŋ35	晌 晌午
餉	hi̯ɛŋ35	饷 军饷
常	ʃi̯ɛŋ31	常 经常
嘗	ʃi̯ɛŋ31	尝 品尝
裳	ʃi̯ɛŋ31	裳 衣裳
償	ʃi̯ɛŋ31	偿 赔偿
上	ʃi̯ɛŋ23	上 上山（动）
尙	ʃi̯ɛŋ31	尚 和尚
上	ʃi̯ɛŋ31	上 上面（名）
勺	ʃi̯ɛʔ031	勺 饭勺，勺子
芍	tʃi̯ɛʔ031	芍 芍药花；白芍
瓤	nɔŋ31	瓤 瓜瓤
壤	ji̯ɛŋ31	壤 土壤
讓	ȵi̯ɛŋ31	让 让座
若	ji̯ɛʔ031	若 若无其事
弱	ȵi̯ɛʔ031	弱 弱点
疆	ki̯ɛŋ55	疆 新疆
僵	ki̯ɛŋ55	僵 僵硬
薑	ki̯ɛŋ55	姜 生姜
繮	ki̯ɛŋ55	缰 缰绳
姜	ki̯ɛŋ55	姜 姜太公，姓
脚	ki̯ɛʔ033	脚 赤脚
卻	kʰi̯ɛʔ033	却 退却
强	kʰi̯ɛŋ31	强 强大
强	kʰi̯ɛŋ23	强 勉强
仰	ŋi̯ɛŋ23	仰 仰视
虐	ȵi̯ɛʔ031	虐 虐待
香	hi̯ɛŋ55	香 香气
鄕	hi̯ɛŋ55	乡 乡下
享	hi̯ɛŋ35	享 分享
響	hi̯ɛŋ35	响 音响
向	hi̯ɛŋ33	向 向前
央	ji̯ɛŋ55	央 中央
秧	ji̯ɛŋ55	秧 插秧
殃	ji̯ɛŋ55	殃 遭殃
約	ji̯ɛʔ033	约 约定
羊	ji̯ɛŋ31	羊 绵羊
洋	ji̯ɛŋ31	洋 海洋
楊	ji̯ɛŋ31	杨 杨树
陽	ji̯ɛŋ31	阳 太阳
揚	ji̯ɛŋ31	扬 发扬
瘍	ji̯ɛŋ31	疡 溃疡
養	ji̯ɛŋ23	养 养猪
癢	ji̯ɛŋ23	痒 皮肤痒
樣	ji̯ɛŋ31	样 样子
藥	ji̯ɛʔ031	药 吃药
躍	ȵi̯ɛʔ031	跃 跳跃
光	kɔŋ55	光 阳光
廣	kɔŋ35	广 广东
郭	kɔʔ033	郭 姓
曠	kʰɔŋ33	旷 旷工
廓	kɔʔ033	廓 轮廓
擴	kʰɔŋ33	扩 扩充
荒	fɔŋ55	荒 荒地
慌	fɔŋ55	慌 心慌
謊	fɔŋ55	谎 说谎
霍	fɔʔ033	霍 霍乱
藿	fɔʔ033	藿 藿香
黃	vɔŋ31	黄 黄色
簧	vɔŋ31	簧 弹簧
皇	vɔŋ31	皇 皇帝
蝗	vɔŋ31	蝗 蝗虫
凰	vɔŋ31	凰 凤凰
晃	fɔŋ35	晃 晃动，晃眼
鑊	vɔʔ031	镬 锅（炒菜用）
汪	vɔŋ55	汪 汪洋
方	fɔŋ55	方 地方
肪	fɔŋ55	肪 脂肪
坊	fɔŋ35	坊 作坊
倣	fɔŋ35	仿 仿效
放	fɔŋ33	放 放手
芳	fɔŋ55	芳 芳香
妨	fɔŋ35	妨 妨害，不妨
紡	fɔŋ35	纺 纺织
仿	fɔŋ35	仿 相仿，仿照
彷	fɔŋ35	仿 仿佛
訪	fɔŋ35	访 访问
房	fɔŋ31	房 房间
防	fɔŋ31	防 防止
縛	fɔʔ031	缚 缚鞋带，缚鸡
亡	mɔŋ31	亡 死亡
芒	mɔŋ31	芒 麦芒，锋芒毕露
網	mɔŋ23	网 鱼网
忘	mɔŋ31	忘 忘记
妄	mɔŋ35	妄 狂妄
望	mɔŋ31	望 希望
匡	vɔŋ55	匡 赵匡胤
筐	vɔŋ55	筐 箩筐
眶	vɔŋ55	眶 眼眶
框	kʰɔŋ55	框 门框
狂	kʰɔŋ31	狂 发狂
况	kʰɔŋ33	况 情况
枉	vɔŋ35	枉 冤枉
王	vɔŋ31	王 姓；大王
往	vɔŋ35	往 来往
旺	vɔŋ31	旺 兴旺
邦	ɓɔŋ55	邦 城邦；刘邦
綁	ɓɔŋ35	绑 松绑
剝	mɔʔ033	剥 剥削
駁	ɓɔʔ033	驳 反驳
胖	ɓuŋ31	胖 肥胖
樸	pʰɔʔ033	朴 朴素
龐	pʰɔŋ31	庞 庞大
棒	pʰaŋ23	棒 木棒
蚌	pʰɔŋ31	蚌 蚌壳
雹	pʰau55	雹 冰雹
樁	tʃɔŋ55	桩 打桩
桌	tʃʰɔʔ031	桌 书桌
卓	tʃʰɔʔ033	卓 卓越
琢	ɗi̯ɛʔ033	琢 琢磨
啄	ɗi̯ɛʔ033	啄 啄木鸟
撞	tʃɔŋ31	撞 碰撞
濁	tʃok031	浊 清浊，浑浊
捉	tʃɔʔ031	捉 捕捉
窗	tʃʰɔŋ55	窗 窗户
雙	ʃɔŋ55	双 一双
朔	ʃɔʔ033	朔 朔月（初一）
江	kɔŋ55	江 长江
扛	kʰɔŋ55	扛 肩扛
肛	kɔŋ55	肛 肛门
講	kɔŋ35	讲 讲话
港	kɔŋ35	港 港口
降	kɔŋ33	降 下降
虹	hoŋ31	虹 彩虹
覺	kɔʔ033	觉 知觉
角	kɔʔ033	角 角色
餃	kau23	饺 水饺
腔	hoŋ55	腔 口腔
確	kʰɔʔ033	确 的确
殼	hɔʔ033	壳 蛋壳
嶽	ŋɔʔ031	岳 五岳
岳	ŋɔʔ031	岳 姓
樂	lɔʔ031	乐 音乐
降	hɔŋ31	降 投降
項	hɔŋ23	项 项链，项目
巷	hɔŋ31	巷 小巷，街巷
學	hɔʔ031	学 学习
握	ʔaʔ033	握 握手
崩	ɓɐŋ55	崩 山崩
北	ɓɐʔ055	北 北方
朋	pʰɐŋ31	朋 朋友
墨	mɐʔ031	墨 笔墨
默	mɐʔ031	默 默写
登	ɗɐŋ55	登 登山
燈	ɗɐŋ55	灯 灯光
等	ɗɐŋ35	等 高等
凳	ɗɐŋ33	凳 凳子
得	ɗɐʔ055	得 得到
德	ɗɐʔ055	德 道德
騰	tʰɐŋ31	腾 奔腾
藤	tʰɐŋ31	藤 藤椅
鄧	ɗɐŋ31	邓 姓
澄	tʃʰeŋ31	澄 澄清
特	ɗɐʔ031	特 特别
能	nɐŋ31	能 才能
肋	lɐʔ031	肋 肋骨
勒	lɐʔ031	勒 勒索
曾	tʃɐŋ55	曾 姓
增	tʃɐŋ55	增 增加
憎	tʃɐŋ55	憎 憎恨
則	tʃɐʔ055	则 否则
曾	tʃʰɐŋ31	曾 曾经
層	tʃʰɐŋ31	层 层次
贈	tʃɐŋ31	赠 赠送
賊	tʃʰɐʔ031	贼 做贼
僧	tʃɐŋ55	僧 唐僧
塞	ɬɐʔ055	塞 阻塞
肯	hɐŋ35	肯 肯定
刻	hɐʔ055	刻 刀刻，雕刻
刻	hɐʔ055	刻 时刻
克	hɐʔ055	克 克服
黑	hɐʔ055	黑 黑白
恆	hɐŋ31	恒 永恒
冰	ɓeŋ55	冰 结冰
逼	ɓek055	逼 被逼
憑	pʰɐŋ31	凭 文凭
陵	leŋ31	陵 陵园
凌	leŋ31	凌 冰凌；凌厉
菱	leŋ31	菱 菱角
力	lek031	力 力量
即	tʃek055	即 立即
鯽	tʃɐʔ031	鲫 鲫鱼
息	ɬek055	息 休息
熄	ɬek055	熄 熄灭
媳	ɬek055	媳 媳妇
徵	tʃeŋ55	征 征求
澄	kʰeŋ31	澄 水浑，澄一澄
懲	tʃʰeŋ31	惩 惩罚
橙	tʃʰaŋ31	橙 橙子
瞪	ɗɐŋ55	瞪 瞪眼
直	tʃek031	直 直接
値	tʃek031	值 价值
側	tʃɐʔ055	侧 侧面
測	tʃʰɐʔ055	测 测量
色	ʃek055	色 色彩
蒸	tʃeŋ55	蒸 蒸发
拯	tʃɐŋ35	拯 拯救
證	tʃeŋ33	证 证明
症	tʃeŋ33	症 病症
織	tʃek055	织 织布
職	tʃek055	职 职务
稱	tʃʰeŋ55	称 称呼；称重量
稱	tʃʰeŋ55	称 相称，称心
秤	tʃʰeŋ33	秤 一杆秤
乘	ʃeŋ31	乘 乘法
繩	ʃeŋ31	绳 麻绳
剩	ʃeŋ31	剩 剩余
食	ʃek031	食 食物
蝕	ʃek031	蚀 月蚀，腐蚀
升	ʃeŋ55	升 升级
勝	ʃeŋ33	胜 胜败，战胜
勝	ʃeŋ33	胜 胜任
識	ʃek055	识 认识
式	ʃek055	式 式样
飾	ʃek055	饰 装饰
承	ʃeŋ31	承 继承
丞	ʃeŋ31	丞 丞相
殖	tʃek031	殖 繁殖
植	tʃek031	植 植物
仍	ŋeŋ31	仍 仍然
扔	ŋeŋ31	扔 扔掉
棘	kʰek055	棘 棘手
極	kek031	极 南极
興	heŋ55	兴 兴旺
興	heŋ33	兴 高兴
應	jeŋ33	应 应对，响应
鷹	jeŋ55	鹰 老鹰
應	jeŋ55	应 应该
憶	jek055	忆 回忆
億	jek055	亿 亿万
抑	jek055	抑 压抑
蠅	jeŋ31	蝇 苍蝇
孕	jeŋ31	孕 怀孕
翼	jek031	翼 机翼
國	kɔʔ033	国 中国
弘	vɐŋ23	弘 弘扬
或	vaʔ031	或 或者
惑	vaʔ031	惑 迷惑
域	vek031	域 地域
百	ɓaʔ033	百 百姓
柏	pʰaʔ033	柏 柏树
伯	ɓaʔ033	伯 伯父
迫	pʰaʔ033	迫 迫害
碰	pʰoŋ33	碰 碰到
拍	pʰaʔ033	拍 拍球
珀	pʰaʔ033	珀 琥珀
魄	pʰaʔ033	魄 魂魄
彭	pʰaŋ31	彭 姓
膨	pʰaŋ31	膨 膨胀
白	ɓaʔ031	白 白色；白吃白喝
盲	maŋ31	盲 盲人，文盲
虻	mɔŋ55	虻 牛虻
猛	maŋ23	猛 凶猛
孟	maŋ23	孟 孟子
陌	pʰaʔ033	陌 陌生
打	ɗa35	打 打针
冷	laŋ23	冷 天冷
撑	tʃʰaŋ33	撑 支撑
拆	tʃʰaʔ033	拆 拆开
澤	tʃaʔ031	泽 毛泽东
擇	tʃaʔ031	择 择菜；选择
宅	tʃaʔ031	宅 住宅
窄	tʃaʔ033	窄 狭窄
生	ʃaŋ55	生 生活；生小孩
牲	ʃaŋ55	牲 牺牲；畜牲
甥	ʃaŋ55	甥 外甥
省	ʃaŋ35	省 省长
省	ʃaŋ35	省 节省
更	kɐŋ33	更 更加
庚	kɐŋ55	庚 庚子，庚款
羹	kɐŋ55	羹 调羹
哽	kʰɐŋ35	哽 骨哽在喉
更	kaŋ55	更 三更；更换
格	kaʔ033	格 格子
坑	haŋ55	坑 坑害
客	haʔ033	客 客人
硬	ŋaŋ31	硬 软硬
額	ŋaʔ031	额 名额
亨	hɐŋ55	亨 大亨
赫	haʔ033	赫 显赫
嚇	haʔ033	吓 吓一跳
行	haŋ31	行 行走；行为
衡	hɐŋ31	衡 平衡
杏	hɐŋ31	杏 杏仁
行	haŋ31	行 品行
浜	ɓɔŋ55	浜 沙家浜
繃	ɓɐŋ55	绷 绷带
擘	mɐʔ055	擘 用手擘开
檗	ɓaʔ033	檗 黄檗（中药名）
棚	pʰaŋ31	棚 瓜棚
蚌	pʰɔŋ31	蚌 蚌壳
氓	mɐŋ31	氓 流氓
麥	maʔ031	麦 大麦
脈	maʔ031	脉 把脉
摘	tʃaʔ031	摘 文摘；摘花
橙	tʃʰaŋ31	橙 橙子，脐橙
爭	tʃaŋ55	争 争吵，战争
箏	tʃaŋ55	筝 风筝
睜	tʃaŋ55	睁 睁眼
踭	tʃaŋ55	踭 脚后跟
責	tʃaʔ031	责 责任
策	tʃʰaʔ033	策 策略
冊	tʃʰaʔ033	册 书册
耕	kaŋ55	耕 耕田
耿	kɐŋ33	耿 耿耿于怀
革	kaʔ033	革 革命；皮革
隔	kaʔ033	隔 隔开，隔壁
莖	keŋ33	茎 花茎
幸	hɐŋ31	幸 幸福
核	vɐʔ031	核 果核
核	hɐʔ031	核 核对
鶯	ʔɐŋ55	莺 黄莺
鸚	jeŋ55	鹦 鹦鹉
櫻	jeŋ55	樱 樱桃
扼	ʔaʔ033	扼 扼杀
軛	ʔaʔ033	轭 牛轭（牛耕田时套的工具）
兵	ɓeŋ55	兵 当兵
丙	ɓeŋ35	丙 甲乙丙丁
秉	ɓeŋ35	秉 秉公办事
柄	ɓeŋ33	柄 把柄
碧	ɓek055	碧 碧玉
平	pʰeŋ31	平 平时
坪	pʰeŋ31	坪 草坪
評	pʰeŋ31	评 批评
病	ɓeŋ31	病 生病
鳴	meŋ31	鸣 鸣叫
明	meŋ31	明 明年
盟	meŋ31	盟 同盟
命	meŋ31	命 命令；一条命
京	keŋ55	京 北京
荆	keŋ55	荆 荆州
驚	keŋ55	惊 吃惊，好惊
境	keŋ35	境 境界
景	keŋ35	景 景色
警	keŋ35	警 警察
敬	keŋ33	敬 敬爱
竟	keŋ35	竟 竟然
鏡	keŋ33	镜 镜子，圆镜
戟	kek055	戟 方天画戟
卿	heŋ55	卿 人名用字；爱卿
慶	heŋ33	庆 庆祝
擎	kʰeŋ31	擎 举起
鯨	keŋ55	鲸 鲸鱼
競	keŋ31	竞 竞争
劇	kek055	剧 剧烈
劇	kek031	剧 戏剧
屐	kek031	屐 木屐
迎	ŋeŋ31	迎 欢迎
逆	ŋek031	逆 逆风
英	jeŋ55	英 英雄
影	jeŋ35	影 电影
映	jeŋ35	映 反映
餠	ɓeŋ35	饼 饼干
倂	pʰeŋ33	并 合并
璧	ɓek055	璧 玉璧
聘	pʰeŋ33	聘 聘请
僻	pʰek055	僻 偏僻
辟	pʰek055	辟 开辟
名	meŋ31	名 名字
領	leŋ35	领 领钱；衣领
嶺	leŋ35	岭 山岭，岭南
令	leŋ31	令 令人
精	tʃeŋ55	精 精神
晶	tʃeŋ55	晶 水晶
睛	tʃeŋ55	睛 眼睛
井	tʃeŋ35	井 一口井；井井有条
積	tʃek055	积 积极
跡	tʃek055	迹 笔迹
脊	tʃek055	脊 背脊
淸	tʃʰeŋ55	清 清洁，水很清
請	tʃʰeŋ35	请 请人，邀请
情	tʃʰeŋ31	情 情节
晴	tʃʰeŋ31	晴 天晴
靜	tʃeŋ31	静 安静
淨	tʃeŋ31	净 净重；干净
籍	tʃek031	籍 籍贯
藉	tʃek031	藉 狼藉
省	ɬeŋ35	省 反省
性	ɬeŋ33	性 性别
姓	ɬeŋ33	姓 姓名
惜	ɬek055	惜 可惜
昔	ʃek055	昔 今昔
席	tʃek031	席 酒席；主席
蓆	tʃek031	席 草席
夕	tʃek031	夕 夕阳
貞	tʃeŋ55	贞 贞节
偵	tʃeŋ55	侦 侦察
逞	tʃʰeŋ31	逞 得逞
呈	tʃʰeŋ31	呈 呈现
程	tʃʰeŋ31	程 程度；姓
鄭	tʃeŋ31	郑 姓；郑重
擲	tʃaʔ031	掷 掷骰子
正	tʃeŋ55	正 正月
征	tʃeŋ55	征 长征；征兵
整	tʃeŋ35	整 整体
正	tʃeŋ33	正 正直，方正
政	tʃeŋ33	政 政治
隻	tʃek055	只 一只
炙	tʃek055	炙 炙手可热
赤	tʃʰek055	赤 赤脚
斥	tʃʰek055	斥 排斥
尺	tʃʰek055	尺 尺寸，一把尺
射	ʃɛ31	射 射箭
聲	ʃeŋ55	声 声音
聖	ʃeŋ33	圣 神圣
適	ʃek055	适 合适
釋	ʃek055	释 解释
成	ʃeŋ31	成 完成
城	ʃeŋ31	城 县城
誠	ʃeŋ31	诚 诚心
盛	ʃeŋ31	盛 兴盛；姓
石	ʃek031	石 石头
頸	keŋ35	颈 头颈
勁	keŋ31	劲 有劲
輕	heŋ55	轻 轻重
嬰	jeŋ55	婴 婴儿
纓	jeŋ55	缨 红缨枪
益	jek055	益 利益
盈	jeŋ31	盈 盈利
贏	jeŋ31	赢 输赢
亦	jek031	亦 亦可
譯	jek031	译 翻译
易	jek031	易 交易
液	jek031	液 液体
壁	ɓek055	壁 墙壁
拼	pʰeŋ31	拼 拼音，拼图
劈	pʰek055	劈 雷劈，刀劈
甁	pʰeŋ31	瓶 瓶子
屛	pʰeŋ31	屏 屏风
萍	pʰeŋ31	萍 萍水相逢；萍乡
並	pʰeŋ33	并 并且
銘	meŋ31	铭 铭刻
冥	meŋ31	冥 冥王，冥钞
丁	ɗeŋ55	丁 甲乙丙丁；姓
釘	ɗeŋ55	钉 钉书（动）
疔	ɗeŋ55	疔 疔疮
叮	ɗeŋ55	叮 蚊子咬
頂	ɗeŋ35	顶 顶好；山顶
鼎	ɗeŋ35	鼎 鼎盛
釘	ɗeŋ55	钉 铁钉（名）
訂	ɗeŋ31	订 订合同，预订
的	ɗek055	的 目的
滴	ɗek055	滴 滴水
聽	tʰeŋ33	听 听见，听话
廳	tʰeŋ55	厅 客厅
聽	tʰeŋ33	听 听任
踢	tʰek055	踢 踢球
剔	tʰek055	剔 挑剔
亭	tʰeŋ31	亭 凉亭
停	tʰeŋ31	停 停下
廷	tʰeŋ31	廷 朝廷
庭	tʰeŋ31	庭 家庭
蜓	tʰeŋ31	蜓 蜻蜓
艇	tʰeŋ35	艇 潜艇
挺	tʰeŋ35	挺 挺胸
錠	ɗeŋ31	锭 银锭
定	ɗeŋ31	定 坚定
笛	ɗek031	笛 笛子
敵	ɗek031	敌 敌人
狄	ɗek031	狄 姓
糴	ɗek031	籴 籴米（买米）
寧	neŋ31	宁 安宁
寧	neŋ31	宁 宁可
靈	leŋ31	灵 灵活
零	leŋ31	零 零碎；零分；十零个
鈴	leŋ31	铃 风铃
伶	leŋ31	伶 伶俐；伶仃
拎	neŋ55	拎 提
另	leŋ31	另 另外
歷	lek031	历 经历，历史
曆	lek031	历 日历，历书
績	tʃek055	绩 成绩
靑	tʃʰeŋ55	青 青年；青色
蜻	tʃʰeŋ55	蜻 蜻蜓
戚	tʃʰek055	戚 亲戚
寂	tʃek031	寂 寂寞
星	ɬeŋ55	星 星星
腥	ɬeŋ55	腥 腥臭
醒	ɬeŋ35	醒 醒来，清醒
錫	ɬek055	锡 无锡；锡纸
析	ɬek055	析 分析
經	keŋ55	经 经济
徑	keŋ33	径 半径
經	keŋ55	经 经纬
擊	kek055	击 击败
激	kek055	激 激动
喫	hɐʔ055	吃 吃东西；吃亏
馨	heŋ55	馨 温馨
形	jeŋ31	形 形状
型	jeŋ31	型 型号
刑	jeŋ31	刑 刑法
礦	kʰɔŋ33	矿 煤矿
橫	vaŋ31	横 横直
橫	vaŋ31	横 蛮横
轟	kwʰaŋ55	轰 轰炸
宏	hoŋ31	宏 宏大
獲	vaʔ031	获 获得
劃	vaʔ031	划 计划
兄	heŋ55	兄 兄弟
榮	veŋ31	荣 光荣
永	veŋ23	永 永远
泳	veŋ31	泳 游泳
詠	veŋ31	咏 歌咏
傾	kʰeŋ55	倾 倾向
頃	kʰeŋ35	顷 公顷
瓊	kʰeŋ31	琼 琼楼
營	jeŋ31	营 营养
穎	veŋ31	颖 新颖
疫	vek031	疫 疫苗
役	vek031	役 战役
螢	jeŋ31	萤 萤火虫
卜	ɓok055	卜 占卜
撲	pʰɔʔ033	扑 扑灭
仆	pʰok055	仆 仆倒
篷	pʰoŋ31	篷 帐篷
蓬	pʰoŋ31	蓬 蓬勃；蓬蒿；蓬莱
僕	ɓok055	仆 仆人，奴仆
曝	ɓou31	曝 曝光
瀑	ɓou31	瀑 瀑布
蒙	moŋ31	蒙 蒙古
懵	moŋ35	懵 懵懂
木	mok031	木 木头
東	ɗoŋ55	东 东方
董	ɗoŋ35	董 姓
懂	ɗoŋ35	懂 懂了；懵懂
凍	ɗoŋ31	冻 冻死
棟	ɗoŋ31	栋 栋梁
通	tʰoŋ55	通 通过
桶	tʰoŋ35	桶 木桶
捅	tʰoŋ35	捅 捅破了
痛	tʰoŋ33	痛 痛苦
禿	tʰok055	秃 秃顶
同	tʰoŋ31	同 同学
銅	tʰoŋ31	铜 铜器
桐	tʰoŋ31	桐 梧桐
筒	tʰoŋ31	筒 电筒
童	tʰoŋ31	童 儿童
瞳	tʰoŋ31	瞳 瞳孔
動	ɗoŋ31	动 动作
洞	ɗoŋ31	洞 山洞
獨	ɗok031	独 独立
讀	ɗok031	读 读书
籠	loŋ31	笼 牢笼
聾	loŋ31	聋 耳聋
嚨	loŋ31	咙 喉咙
攏	loŋ35	拢 靠拢
弄	loŋ31	弄 弄错
鹿	lok031	鹿 鹿茸
祿	lok031	禄 福禄寿
棕	tʃoŋ33	棕 棕色
鬃	tʃoŋ55	鬃 马鬃
總	tʃoŋ35	总 总计
糉	tʃoŋ55	粽 粽子
聰	tʃʰoŋ55	聪 聪明
匆	tʃʰoŋ55	匆 匆忙
葱	tʃʰoŋ55	葱 香葱
囪	tʰoŋ55	囱 烟囱
叢	tʃʰoŋ31	丛 树丛
族	tʃok031	族 民族
送	ɬoŋ33	送 送客
速	tʃʰok055	速 速度
公	koŋ55	公 公文
蚣	koŋ55	蚣 蜈蚣
工	koŋ55	工 工人
功	koŋ55	功 功课
攻	koŋ55	攻 攻击
貢	koŋ33	贡 贡献
穀	kok055	谷 稻谷
谷	kok055	谷 山谷
空	hoŋ55	空 空虚
孔	hoŋ35	孔 孔子
控	hoŋ33	控 控制
空	hoŋ55	空 亏空
哭	hok055	哭 痛哭
烘	hoŋ33	烘 烘干
哄	hoŋ35	哄 哄骗
紅	hoŋ31	红 红色
洪	hoŋ31	洪 洪水
鴻	hoŋ31	鸿 大展鸿图
虹	hoŋ31	虹 天上的虹
鬨	hoŋ33	哄 内哄，起哄
斛	fok031	斛 石斛（中药）
翁	joŋ55	翁 老翁；姓
瓮	ʔaŋ55	瓮 米瓮
屋	ʔok055	屋 房屋
冬	ɗoŋ55	冬 冬至
督	ɗok055	督 监督
統	tʰoŋ35	统 统一
毒	ɗok031	毒 毒药
農	noŋ31	农 农村
膿	noŋ31	脓 化脓
宗	tʃoŋ55	宗 祖宗
綜	tʃoŋ55	综 织布机上的综
鬆	ɬoŋ55	松 松紧，放松
宋	ɬoŋ33	宋 宋朝
酷	hou31	酷 残酷
沃	jok055	沃 肥沃
風	foŋ55	风 风气
楓	foŋ55	枫 枫树
瘋	foŋ55	疯 发疯
諷	foŋ35	讽 讽刺
福	fok055	福 福气
幅	fok055	幅 幅度
蝠	fok055	蝠 蝙蝠
複	fok055	复 重复，复印
腹	fok055	腹 心腹
豐	foŋ55	丰 丰衣足食
覆	fok055	覆 反覆
馮	foŋ31	冯 姓
鳳	foŋ31	凤 凤凰
服	fok031	服 服务
伏	fok031	伏 三伏
復	fok055	复 复原，恢复
袱	fok031	袱 包袱
夢	moŋ31	梦 做梦
目	mok031	目 目的
穆	mok031	穆 姓
牧	mok031	牧 畜牧
隆	loŋ31	隆 兴隆
六	lok031	六 第六
陸	lok031	陆 大陆
嵩	ɬoŋ55	嵩 嵩山
肅	ɬok055	肃 严肃
宿	ɬok055	宿 星宿
中	tʃoŋ55	中 当中，中秋
忠	tʃoŋ55	忠 忠心
衷	tʃʰoŋ55	衷 衷心，初衷
中	tʃoŋ33	中 射中，中状元
竹	tʃok055	竹 竹子
築	tʃʰok055	筑 建筑
畜	tʃʰok055	畜 牲畜
蟲	tʃʰoŋ31	虫 虫子
仲	tʃoŋ31	仲 杜仲
逐	tʃok031	逐 驱逐
軸	tʃok031	轴 轴承
崇	ɬoŋ31	崇 崇高
縮	ʃok055	缩 缩小
終	tʃoŋ55	终 终于
衆	tʃoŋ33	众 群众
祝	tʃok055	祝 庆祝
粥	tʃok055	粥 煮粥
充	tʃʰoŋ55	充 充分
叔	ʃok055	叔 叔叔
熟	ʃok031	熟 煮熟
淑	ʃok031	淑 淑女；人名
戎	joŋ31	戎 戎马
絨	joŋ31	绒 绒毛
肉	ȵok031	肉 肉体
弓	koŋ55	弓 弓箭
躬	koŋ55	躬 鞠躬
宮	koŋ55	宫 天宫，宫殿
菊	kok055	菊 菊花
麴	kʰok055	麴 酒麴
窮	kʰoŋ31	穷 穷人
畜	tʃʰok055	畜 畜牧
蓄	tʃʰok055	蓄 储蓄
郁	vɐʔ055	郁 忧郁；郁南
熊	joŋ31	熊 熊猫
雄	hoŋ31	雄 英雄
融	joŋ31	融 融化
育	jok031	育 教育
封	foŋ55	封 开封
峯	foŋ55	峰 山峰
蜂	foŋ55	蜂 蜜蜂
鋒	foŋ55	锋 锋利
捧	ɓoŋ35	捧 捧走
逢	foŋ31	逢 相逢
縫	foŋ31	缝 缝衣服
奉	foŋ31	奉 奉献，奉承
俸	foŋ35	俸 俸禄
濃	noŋ31	浓 浓厚
龍	loŋ31	龙 龙头
壟	loŋ35	垄 垄断
綠	lok031	绿 碧绿
錄	lok031	录 记录
蹤	tʃoŋ55	踪 踪迹
縱	tʃoŋ55	纵 纵横
縱	tʃoŋ33	纵 放纵
足	tʃok055	足 满足
從	tʃʰoŋ31	从 从容
促	tʃʰok055	促 促进
